"percent_price","fuel_type","body_type","transmission","assured_buy","car_availability","total_owners","broker_quote","original_price","car_rating","fitness_certificate","emi_starts_from","booking_down_pymnt"
0.965490543850236,2,5,1,1,1,1,713426,719426,"3",1,16134,104190
0.783552780367259,2,1,1,1,1,1,284626,362578,"3",1,6599,42615
0.972354894689088,2,4,1,1,1,1,1127710,1135210,"3",1,25639,165575
0.842977012411701,2,2,1,1,1,1,850000,1002280,"3",1,19625,126735
0.928482348932224,2,3,1,1,1,1,226320,284657,"2",1,6139,39645
0.741832946430154,1,1,1,1,1,1,352558,451448,"3",1,7779,50235
0.744579974908485,5,1,1,1,1,1,364076,465496,"3",1,8051,51990
0.774363372008679,1,1,1,1,1,2,241697,310189,"3",1,5579,36030
0.996201459854015,1,1,1,1,1,1,336000,342500,"3",1,7925,51180
0.756737555407769,1,3,1,1,1,1,536586,682666,"3",1,11999,77490
0.777563295262084,1,1,1,1,1,1,360000,460540,"3",1,8318,53715
0.802167726444039,1,3,1,1,1,1,352000,449780,"3",1,8380,54120
0.809723596119375,1,1,1,1,1,1,344573,435703,"3",1,8195,52920
0.840045307683738,1,1,1,1,1,1,208148,269270,"3",1,5254,33930
0.787031487434691,1,1,1,1,1,1,251662,330354,"3",1,6039,39000
0.73110561450739,1,1,1,1,1,1,222438,292706,"3",1,4971,32100
0.772698316296049,1,1,1,1,1,1,241700,302963,"3",1,5438,35115
0.958436296313729,1,1,1,1,1,1,503392,509892,"3",1,11351,73305
0.82234823653977,5,1,1,1,1,1,453780,562899,"3",1,10752,69435
0.846115297321834,1,1,1,1,1,1,209467,275375,"3",1,5412,34950
0.835170185130411,2,2,1,0,1,1,433859,544319,"3",1,10559,68190
0.79773421871808,1,1,1,1,1,1,353454,494399,"3",1,9161,59160
0.818846487807032,1,1,1,1,1,1,265907,339745,"3",1,6462,41730
0.777431064836557,2,1,1,1,1,2,335481,449299,"3",1,8113,52395
0.793969269597025,1,1,1,1,1,1,578988,719548,"3",1,13270,85695
0.787504860826309,1,1,1,1,2,1,357366,470599,"3",1,8608,55590
0.73995267458532,2,1,1,1,1,1,334103,428945,"3",1,7372,47610
0.995507623562814,2,1,1,1,1,2,333702,333899,"3",1,7721,49860
0.804631202922666,1,2,1,1,1,2,841253,1023449,"3",1,19128,123525
0.851893337600439,1,1,1,1,1,1,202583,262473,"3",1,5194,33540
0.842861846343244,1,1,1,1,1,2,269633,349285,"2",1,6838,44160
0.811276686167952,1,2,1,1,1,1,911988,1105910,"3",1,20840,134580
0.956051977847217,1,1,1,1,1,1,239609,268499,"3",1,5962,38505
0.68886026403318,1,1,1,1,1,1,201724,321399,"2",1,5143,33210
0.981897085831877,1,1,1,1,1,1,355044,361544,"3",1,8246,53250
0.928897417628951,2,1,1,1,1,1,237167,297556,"2",1,6420,41460
0.773957951750484,1,2,1,1,1,1,738712,917232,"3",1,16489,106485
0.950905265830252,1,1,1,1,1,1,470617,535699,"3",1,11832,76410
0.784324924571688,1,1,1,1,1,3,369391,470977,"3",1,8580,55410
0.859056513592278,1,1,1,1,1,1,176651,236421,"2",1,4717,30465
0.953480239930222,2,4,1,1,1,3,395073,503313,"2",1,11147,71985
0.872979660793408,2,4,1,1,1,2,505938,636898,"3",1,12914,83400
0.877513111888112,1,3,1,1,1,1,200068,265408,"2",1,5410,34935
